match,rank,guild,nickname,job_raw,observed_text,contribution,sample_date,source,source_row,matched_nickname,job_name,observed_performance,observed_unit,level,combat_power,combat_power_man,profile_job,profile_guild,profile_server,profile_source_url,profile_retrieved_at,profile_data_date,profile_timing,guild_for_fit,fit_eligible,exclusion_reason,possible_nickname_matches,extraction,nickname_raw,guild_source,nickname_correction
빅딜,1,SSIM,주식회사서영,바이퍼,3978억 934만,1500000,2026-09-14,빅딜_대항전.xlsx,2,주식회사서영,바이퍼,397809340000,absolute (image display rounded to 억/만),115,5경 8603조 2478억 2951만,5860324782951,바이퍼,SSIM,Scania 60,https://mgf.gg/contents/guild_info.php?g_name=SSIM,2026-09-16T22:22:34.619416+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,SSIM,True,,,,,,
빅딜,20,인형나라,괴챠반,바이퍼,1365억 7763만,260000,2026-09-14,빅딜_대항전.xlsx,21,괴챠반,바이퍼,136577630000,absolute (image display rounded to 억/만),112,3779조 9660억 4199만,377996604199,바이퍼,인형나라,Scania 25,https://mgf.gg/contents/guild_info.php?g_name=%EC%9D%B8%ED%98%95%EB%82%98%EB%9D%BC,2026-09-16T22:22:34.116204+09:00,2026.09.12,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,인형나라,True,,,,,,
빅딜,21,눈별,종꿀,나이트로드,1360억 6232만,250000,2026-09-14,빅딜_대항전.xlsx,22,종꿀,나이트로드,136062320000,absolute (image display rounded to 억/만),113,1939조 2480억 9380만,193924809380,나이트로드,눈별,Scania 6,https://mgf.gg/contents/guild_info.php?g_name=%EB%88%88%EB%B3%84,2026-09-16T22:22:33.610242+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,눈별,True,,,,,,
빅딜,22,눈별,여니워니,비숍,1342억 30만,240000,2026-09-14,빅딜_대항전.xlsx,23,여니워니,비숍,134200300000,absolute (image display rounded to 억/만),112,1609조 611억 3837만,160906113837,비숍,눈별,Scania 6,https://mgf.gg/contents/guild_info.php?g_name=%EB%88%88%EB%B3%84,2026-09-16T22:22:33.610242+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,눈별,True,,,,,,
빅딜,23,빅딜,김치싸대기,히어로,1259억 4248만,230000,2026-09-14,빅딜_대항전.xlsx,24,김치싸대기,히어로,125942480000,absolute (image display rounded to 억/만),114,8515조 3583억 4706만,851535834706,히어로,빅딜,Scania 2,https://mgf.gg/contents/guild_info.php?g_name=%EB%B9%85%EB%94%9C,2026-09-16T22:22:32.620426+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,빅딜,True,,,,,,
빅딜,24,인형나라,유놈,나이트로드,1251억 5480만,220000,2026-09-14,빅딜_대항전.xlsx,25,유놈,나이트로드,125154800000,absolute (image display rounded to 억/만),111,2691조 9569억 2682만,269195692682,나이트로드,인형나라,Scania 25,https://mgf.gg/contents/guild_info.php?g_name=%EC%9D%B8%ED%98%95%EB%82%98%EB%9D%BC,2026-09-16T22:22:34.116204+09:00,2026.09.12,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,인형나라,True,,,,,,
빅딜,25,86서버,델타시그마,섀도어,1240억 3541만,210000,2026-09-14,빅딜_대항전.xlsx,26,델타시그마,섀도어,124035410000,absolute (image display rounded to 억/만),112,2462조 8942억 8430만,246289428430,섀도어,86서버,Scania 33,https://mgf.gg/contents/guild_info.php?g_name=86%EC%84%9C%EB%B2%84,2026-09-16T22:22:33.112070+09:00,2026.09.12,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,86서버,True,,,,,,
빅딜,26,86서버,PSG서포터즈,섀도어,1224억 9089만,200000,2026-09-14,빅딜_대항전.xlsx,27,PSG서포터즈,섀도어,122490890000,absolute (image display rounded to 억/만),110,861조 9309억 5785만,86193095785,섀도어,86서버,Scania 33,https://mgf.gg/contents/guild_info.php?g_name=86%EC%84%9C%EB%B2%84,2026-09-16T22:22:33.112070+09:00,2026.09.12,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,86서버,True,,,,,,
빅딜,27,빅딜,서포터즈,나이트로드,1219억 4513만,190000,2026-09-14,빅딜_대항전.xlsx,28,서포터즈,나이트로드,121945130000,absolute (image display rounded to 억/만),112,2062조 3576억 7889만,206235767889,나이트로드,빅딜,Scania 2,https://mgf.gg/contents/guild_info.php?g_name=%EB%B9%85%EB%94%9C,2026-09-16T22:22:32.620426+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,빅딜,True,,,,,,
빅딜,28,인형나라,김훈한,보우마스터,1216억 1135만,180000,2026-09-14,빅딜_대항전.xlsx,29,김훈한,보우마스터,121611350000,absolute (image display rounded to 억/만),112,1277조 5140억 7129만,127751407129,보우마스터,인형나라,Scania 25,https://mgf.gg/contents/guild_info.php?g_name=%EC%9D%B8%ED%98%95%EB%82%98%EB%9D%BC,2026-09-16T22:22:34.116204+09:00,2026.09.12,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,인형나라,True,,,,,,
빅딜,29,빅딜,대방어조아,나이트로드,1193억 1809만,170000,2026-09-14,빅딜_대항전.xlsx,31,대방어조아,나이트로드,119318090000,absolute (image display rounded to 억/만),113,3301조 3852억 4361만,330138524361,나이트로드,빅딜,Scania 2,https://mgf.gg/contents/guild_info.php?g_name=%EB%B9%85%EB%94%9C,2026-09-16T22:22:32.620426+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,빅딜,True,,,,,,
빅딜,30,인형나라,사오토메란마,아크메이지 - 불독,1184억 7341만,160000,2026-09-14,빅딜_대항전.xlsx,32,사오토메란마,"아크메이지(불,독)",118473410000,absolute (image display rounded to 억/만),112,1768조 8881억 9922만,176888819922,"아크메이지(불,독)",인형나라,Scania 25,https://mgf.gg/contents/guild_info.php?g_name=%EC%9D%B8%ED%98%95%EB%82%98%EB%9D%BC,2026-09-16T22:22:34.116204+09:00,2026.09.12,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,인형나라,True,,,,,,
빅딜,31,빅딜,KR#TAKIN9CP37,나이트로드,1176억 8629만,157000,2026-09-14,빅딜_대항전.xlsx,33,KR#TAKIN9CP37,나이트로드,117686290000,absolute (image display rounded to 억/만),112,1718조 1326억 9702만,171813269702,나이트로드,빅딜,Scania 2,https://mgf.gg/contents/guild_info.php?g_name=%EB%B9%85%EB%94%9C,2026-09-16T22:22:32.620426+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,빅딜,True,,,,,,
빅딜,32,인형나라,윤꼬밍,비숍,1159억 678만,154000,2026-09-14,빅딜_대항전.xlsx,34,윤꼬밍,비숍,115906780000,absolute (image display rounded to 억/만),111,2390조 9787억 2469만,239097872469,비숍,인형나라,Scania 25,https://mgf.gg/contents/guild_info.php?g_name=%EC%9D%B8%ED%98%95%EB%82%98%EB%9D%BC,2026-09-16T22:22:34.116204+09:00,2026.09.12,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,인형나라,True,,,,,,
빅딜,33,86서버,엉쫀,비숍,1098억 8891만,151000,2026-09-14,빅딜_대항전.xlsx,35,엉쫀,비숍,109888910000,absolute (image display rounded to 억/만),112,1538조 6264억 5877만,153862645877,비숍,86서버,Scania 33,https://mgf.gg/contents/guild_info.php?g_name=86%EC%84%9C%EB%B2%84,2026-09-16T22:22:33.112070+09:00,2026.09.12,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,86서버,True,,,,,,
빅딜,34,눈별,MangCI,팔라딘,1090억 1148만,148000,2026-09-14,빅딜_대항전.xlsx,36,MangCI,팔라딘,109011480000,absolute (image display rounded to 억/만),112,933조 1513억 6241만,93315136241,팔라딘,눈별,Scania 6,https://mgf.gg/contents/guild_info.php?g_name=%EB%88%88%EB%B3%84,2026-09-16T22:22:33.610242+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,눈별,True,,,,,,
빅딜,35,인형나라,명동이,비숍,1088억 8337만,145000,2026-09-14,빅딜_대항전.xlsx,37,명동이,비숍,108883370000,absolute (image display rounded to 억/만),112,3245조 684억 6500만,324506846500,비숍,인형나라,Scania 25,https://mgf.gg/contents/guild_info.php?g_name=%EC%9D%B8%ED%98%95%EB%82%98%EB%9D%BC,2026-09-16T22:22:34.116204+09:00,2026.09.12,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,인형나라,True,,,,,,
빅딜,36,인형나라,최영교,히어로,1087억 8267만,142000,2026-09-14,빅딜_대항전.xlsx,38,최영교,히어로,108782670000,absolute (image display rounded to 억/만),112,1495조 9351억 651만,149593510651,히어로,인형나라,Scania 25,https://mgf.gg/contents/guild_info.php?g_name=%EC%9D%B8%ED%98%95%EB%82%98%EB%9D%BC,2026-09-16T22:22:34.116204+09:00,2026.09.12,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,인형나라,True,,,,,,
빅딜,37,인형나라,구엉이,보우마스터,1084억 3813만,139000,2026-09-14,빅딜_대항전.xlsx,39,구엉이,보우마스터,108438130000,absolute (image display rounded to 억/만),111,1052조 5398억 161만,105253980161,보우마스터,인형나라,Scania 25,https://mgf.gg/contents/guild_info.php?g_name=%EC%9D%B8%ED%98%95%EB%82%98%EB%9D%BC,2026-09-16T22:22:34.116204+09:00,2026.09.12,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,인형나라,True,,,,,,
빅딜,38,86서버,요금표,보우마스터,1083억 5207만,136000,2026-09-14,빅딜_대항전.xlsx,40,요금표,보우마스터,108352070000,absolute (image display rounded to 억/만),111,1065조 6741억 1673만,106567411673,보우마스터,86서버,Scania 33,https://mgf.gg/contents/guild_info.php?g_name=86%EC%84%9C%EB%B2%84,2026-09-16T22:22:33.112070+09:00,2026.09.12,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,86서버,True,,,,,,
빅딜,39,빅딜,자유이용껀,섀도어,1076억 5899만,133000,2026-09-14,빅딜_대항전.xlsx,41,자유이용껀,섀도어,107658990000,absolute (image display rounded to 억/만),110,918조 9796억 5248만,91897965248,섀도어,빅딜,Scania 2,https://mgf.gg/contents/guild_info.php?g_name=%EB%B9%85%EB%94%9C,2026-09-16T22:22:32.620426+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,빅딜,True,,,,,,
빅딜,40,눈별,시골미남,팔라딘,1069억 9926만,130000,2026-09-14,빅딜_대항전.xlsx,42,시골미남,팔라딘,106999260000,absolute (image display rounded to 억/만),111,1433조 1544억 4876만,143315444876,팔라딘,눈별,Scania 6,https://mgf.gg/contents/guild_info.php?g_name=%EB%88%88%EB%B3%84,2026-09-16T22:22:33.610242+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,눈별,True,,,,,,
빅딜,41,눈별,자이언트리,아크메이지 - 불독,1061억 1243만,128000,2026-09-14,빅딜_대항전.xlsx,43,자이언트리,"아크메이지(불,독)",106112430000,absolute (image display rounded to 억/만),111,1007조 6958억 4699만,100769584699,"아크메이지(불,독)",눈별,Scania 6,https://mgf.gg/contents/guild_info.php?g_name=%EB%88%88%EB%B3%84,2026-09-16T22:22:33.610242+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,눈별,True,,,,,,
빅딜,42,빅딜,엘라임,히어로,1059억 7704만,126000,2026-09-14,빅딜_대항전.xlsx,44,엘라임,히어로,105977040000,absolute (image display rounded to 억/만),112,2720조 2809억 9602만,272028099602,히어로,빅딜,Scania 2,https://mgf.gg/contents/guild_info.php?g_name=%EB%B9%85%EB%94%9C,2026-09-16T22:22:32.620426+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,빅딜,True,,,,,,
빅딜,43,86서버,용이a,나이트로드,1032억 2266만,124000,2026-09-14,빅딜_대항전.xlsx,45,용이a,나이트로드,103222660000,absolute (image display rounded to 억/만),111,1368조 2073억 1181만,136820731181,나이트로드,86서버,Scania 33,https://mgf.gg/contents/guild_info.php?g_name=86%EC%84%9C%EB%B2%84,2026-09-16T22:22:33.112070+09:00,2026.09.12,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,86서버,True,,,,,,
빅딜,44,눈별,포빅,캡틴,1021억 352만,122000,2026-09-14,빅딜_대항전.xlsx,46,포빅,캡틴,102103520000,absolute (image display rounded to 억/만),111,1263조 5827억 4578만,126358274578,캡틴,눈별,Scania 6,https://mgf.gg/contents/guild_info.php?g_name=%EB%88%88%EB%B3%84,2026-09-16T22:22:33.610242+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,눈별,True,,,,,,
빅딜,45,빅딜,뻥뻥,보우마스터,1013억 9053만,120000,2026-09-14,빅딜_대항전.xlsx,47,뻥뻥,보우마스터,101390530000,absolute (image display rounded to 억/만),110,1178조 4809억 5968만,117848095968,보우마스터,빅딜,Scania 2,https://mgf.gg/contents/guild_info.php?g_name=%EB%B9%85%EB%94%9C,2026-09-16T22:22:32.620426+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,빅딜,True,,,,,,
빅딜,46,눈별,티에이치,보우마스터,1013억 5490만,118000,2026-09-14,빅딜_대항전.xlsx,48,티에이치,보우마스터,101354900000,absolute (image display rounded to 억/만),110,713조 6537억 5559만,71365375559,보우마스터,눈별,Scania 6,https://mgf.gg/contents/guild_info.php?g_name=%EB%88%88%EB%B3%84,2026-09-16T22:22:33.610242+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,눈별,True,,,,,,
빅딜,47,SSIM,베네치얀,바이퍼,951억 7249만,116000,2026-09-14,빅딜_대항전.xlsx,49,베네치얀,바이퍼,95172490000,absolute (image display rounded to 억/만),109,623조 5767억 7676만,62357677676,바이퍼,SSIM,Scania 60,https://mgf.gg/contents/guild_info.php?g_name=SSIM,2026-09-16T22:22:34.619416+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,SSIM,True,,,,,,
빅딜,48,빅딜,야가다,보우마스터,922억 8379만,114000,2026-09-14,빅딜_대항전.xlsx,50,야가다,보우마스터,92283790000,absolute (image display rounded to 억/만),112,1508조 7420억 3377만,150874203377,보우마스터,빅딜,Scania 2,https://mgf.gg/contents/guild_info.php?g_name=%EB%B9%85%EB%94%9C,2026-09-16T22:22:32.620426+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,빅딜,True,,,,,,
빅딜,49,빅딜,채무조정,비숍,922억 762만,112000,2026-09-14,빅딜_대항전.xlsx,51,채무조정,비숍,92207620000,absolute (image display rounded to 억/만),111,972조 2153억 1957만,97221531957,비숍,빅딜,Scania 2,https://mgf.gg/contents/guild_info.php?g_name=%EB%B9%85%EB%94%9C,2026-09-16T22:22:32.620426+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,빅딜,True,,,,,,
빅딜,50,인형나라,뜨머푸,보우마스터,921억 9969만,110000,2026-09-14,빅딜_대항전.xlsx,52,뜨머푸,보우마스터,92199690000,absolute (image display rounded to 억/만),110,863조 3471억 8490만,86334718490,보우마스터,인형나라,Scania 25,https://mgf.gg/contents/guild_info.php?g_name=%EC%9D%B8%ED%98%95%EB%82%98%EB%9D%BC,2026-09-16T22:22:34.116204+09:00,2026.09.12,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,인형나라,True,,,,,,
빅딜,51,빅딜,퍼품,비숍,916억 3750만,109000,2026-09-14,빅딜_대항전.xlsx,53,퍼품,비숍,91637500000,absolute (image display rounded to 억/만),,,,,,,,,,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,빅딜,False,missing_profile,퍼퓸,,,,
빅딜,52,빅딜,호우기,나이트로드,913억 5524만,108000,2026-09-14,빅딜_대항전.xlsx,54,호우기,나이트로드,91355240000,absolute (image display rounded to 억/만),112,834조 9225억 8951만,83492258951,나이트로드,빅딜,Scania 2,https://mgf.gg/contents/guild_info.php?g_name=%EB%B9%85%EB%94%9C,2026-09-16T22:22:32.620426+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,빅딜,True,,,,,,
빅딜,53,눈별,모르페우스,비숍,913억 1788만,107000,2026-09-14,빅딜_대항전.xlsx,57,모르페우스,비숍,91317880000,absolute (image display rounded to 억/만),112,795조 7079억 8803만,79570798803,비숍,눈별,Scania 6,https://mgf.gg/contents/guild_info.php?g_name=%EB%88%88%EB%B3%84,2026-09-16T22:22:33.610242+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,눈별,True,,,,,,
빅딜,54,인형나라,디메트로돈,비숍,911억 762만,106000,2026-09-14,빅딜_대항전.xlsx,58,디메트로돈,비숍,91107620000,absolute (image display rounded to 억/만),111,714조 7621억 4089만,71476214089,비숍,인형나라,Scania 25,https://mgf.gg/contents/guild_info.php?g_name=%EC%9D%B8%ED%98%95%EB%82%98%EB%9D%BC,2026-09-16T22:22:34.116204+09:00,2026.09.12,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,인형나라,True,,,,,,
빅딜,55,빅딜,흑두부,비숍,903억 2758만,105000,2026-09-14,빅딜_대항전.xlsx,59,흑두부,비숍,90327580000,absolute (image display rounded to 억/만),111,3010조 3664억 6363만,301036646363,비숍,빅딜,Scania 2,https://mgf.gg/contents/guild_info.php?g_name=%EB%B9%85%EB%94%9C,2026-09-16T22:22:32.620426+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,빅딜,True,,,,,,
빅딜,56,86서버,으쉐,비숍,900억 4131만,104000,2026-09-14,빅딜_대항전.xlsx,60,으쉐,비숍,90041310000,absolute (image display rounded to 억/만),,,,,,,,,,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,86서버,False,missing_profile,으눼,,,,
빅딜,57,86서버,웅잉당,바이퍼,888억 7166만,103000,2026-09-14,빅딜_대항전.xlsx,61,웅잉당,바이퍼,88871660000,absolute (image display rounded to 억/만),111,2749조 440억 826만,274904400826,바이퍼,86서버,Scania 33,https://mgf.gg/contents/guild_info.php?g_name=86%EC%84%9C%EB%B2%84,2026-09-16T22:22:33.112070+09:00,2026.09.12,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,86서버,True,,,,,,
