filename,row_index_in_image,nickname,job,server,score,note
"KakaoTalk_20260422_221320048_25.png","3","김랭포르","아크메이지 - 썬콜","","2,941,830","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_26.png","1","하이요하임","섀도어","","2,755,887",""
"KakaoTalk_20260422_221320048_26.png","2","샤포리","섀도어","","2,540,343",""
"KakaoTalk_20260422_221320048_26.png","3","양가오너","히어로","","2,413,101","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_27.png","1","돌쇠영만","다크나이트","","2,350,443",""
"KakaoTalk_20260422_221320048_27.png","2","BudriQ","비숍","","2,277,987",""
"KakaoTalk_20260422_221320048_27.png","3","외단","아크메이지 - 썬콜","","2,266,296","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_28.png","1","예라미","아크메이지 - 썬콜","","2,224,020",""
"KakaoTalk_20260422_221320048_28.png","2","이서지용","아크메이지 - 썬콜","","1,905,393",""
"KakaoTalk_20260422_221320048_28.png","3","꿈꿔","섀도어","","1,864,263",""
"KakaoTalk_20260422_221320048_29.png","1","김카","신궁","","1,860,231",""
"KakaoTalk_20260422_221320048_29.png","2","최시네루친구","아크메이지 - 썬콜","","1,819,614",""
"KakaoTalk_20260422_221320048_29.png","3","탕화","아크메이지 - 썬콜","","1,670,136",""
